Field of Study,Current Occupation,Age,Gender,Years of Experience,Education Level,Industry Growth Rate,Job Satisfaction,Work-Life Balance,Job Opportunities,Salary,Job Security,Career Change Interest,Skills Gap,Certifications,Freelancing Experience,Geographic Mobility,Professional Networks,Career Change Events,Technology Adoption,Likely to Change Occupation,LogSalary
Mechanical Engineering,Psychologist,57.0,Male,31.0,PhD,High,6.0,6.0,26.0,150839.0,8.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,6.0,0.0,5.178513644550862
Computer Science,Software Developer,48.0,Female,36.0,High School,Medium,3.0,3.0,23.0,146721.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,5.166492278338227
Business,Software Developer,54.0,Female,37.0,Bachelor's,Low,4.0,4.0,62.0,78910.0,6.0,0.0,2.0,0.0,0.0,1.0,9.0,1.0,4.0,1.0,4.897132043382094
Economics,Software Developer,29.0,Female,34.0,Master's,High,5.0,3.0,27.0,136634.0,6.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,5.1355587826181734
Biology,Psychologist,47.0,Female,22.0,PhD,Medium,10.0,8.0,57.0,160725.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,5.206083434433529
Medicine,Artist,46.0,Male,39.0,Master's,Medium,1.0,1.0,63.0,140602.0,10.0,0.0,2.0,1.0,0.0,0.0,5.0,2.0,2.0,1.0,5.147991498370762
Economics,Biologist,38.0,Female,8.0,Master's,High,9.0,10.0,62.0,119283.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,5.076578553207025
Business,Psychologist,49.0,Male,19.0,PhD,High,7.0,6.0,1.0,177457.0,10.0,0.0,3.0,0.0,0.0,0.0,7.0,2.0,9.0,0.0,5.2490931352779375
Medicine,Software Developer,46.0,Female,37.0,Master's,Medium,2.0,4.0,61.0,80286.0,2.0,1.0,9.0,0.0,0.0,0.0,1.0,2.0,6.0,1.0,4.904639821084018
Psychology,Artist,39.0,Female,24.0,Master's,High,9.0,8.0,82.0,134063.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,8.0,0.0,5.127308933608117
Economics,Doctor,40.0,Female,7.0,Bachelor's,Low,8.0,10.0,7.0,127560.0,6.0,0.0,10.0,0.0,0.0,0.0,3.0,1.0,8.0,0.0,5.105714510570921
Law,Software Developer,51.0,Female,20.0,PhD,Low,5.0,9.0,97.0,102414.0,5.0,1.0,6.0,1.0,0.0,1.0,10.0,2.0,8.0,1.0,5.01035932877996
Computer Science,Artist,39.0,Female,13.0,PhD,Medium,10.0,9.0,14.0,94638.0,6.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,4.976065553702061
Economics,Software Developer,37.0,Female,19.0,Bachelor's,High,3.0,1.0,92.0,32311.0,4.0,1.0,7.0,0.0,0.0,1.0,3.0,0.0,4.0,1.0,4.509350399297784
Biology,Teacher,49.0,Female,24.0,PhD,Low,2.0,6.0,39.0,117518.0,10.0,0.0,4.0,0.0,0.0,0.0,8.0,2.0,8.0,1.0,5.070104391730848
Biology,Lawyer,20.0,Female,20.0,PhD,Low,10.0,2.0,21.0,137377.0,6.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,9.0,0.0,5.13791402814413
Arts,Business Analyst,25.0,Female,17.0,PhD,Low,2.0,10.0,33.0,181154.0,7.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,5.2580479279855075
Psychology,Lawyer,56.0,Female,33.0,Master's,Medium,1.0,10.0,12.0,132056.0,10.0,0.0,2.0,1.0,0.0,0.0,6.0,1.0,5.0,1.0,5.120758138278222
Arts,Teacher,49.0,Male,9.0,High School,Low,6.0,3.0,94.0,148867.0,4.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,9.0,0.0,5.172798436460888
Mechanical Engineering,Lawyer,30.0,Female,28.0,High School,Medium,10.0,6.0,34.0,116637.0,7.0,0.0,10.0,1.0,0.0,0.0,4.0,2.0,2.0,0.0,5.066836340704685
Medicine,Artist,45.0,Female,18.0,PhD,High,10.0,10.0,74.0,100435.0,8.0,0.0,7.0,0.0,0.0,0.0,4.0,1.0,8.0,0.0,5.00188508390488
Education,Artist,49.0,Male,18.0,High School,Low,2.0,4.0,19.0,191179.0,6.0,0.0,4.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,5.281440185612657
Psychology,Lawyer,53.0,Female,39.0,Bachelor's,Medium,3.0,10.0,74.0,91245.0,1.0,0.0,9.0,1.0,1.0,1.0,2.0,2.0,8.0,1.0,4.960209075518605
Mechanical Engineering,Doctor,49.0,Male,14.0,High School,Low,3.0,3.0,29.0,47694.0,7.0,0.0,4.0,1.0,0.0,0.0,5.0,1.0,6.0,1.0,4.6784637473673705
Computer Science,Software Developer,55.0,Female,18.0,PhD,High,10.0,10.0,93.0,138388.0,1.0,0.0,5.0,0.0,1.0,0.0,9.0,0.0,9.0,0.0,5.141098432897261
Arts,Teacher,58.0,Female,31.0,Bachelor's,Low,1.0,6.0,86.0,97926.0,3.0,0.0,3.0,1.0,0.0,1.0,5.0,2.0,4.0,1.0,4.990898015167715
Mechanical Engineering,Lawyer,56.0,Male,35.0,PhD,Medium,2.0,9.0,37.0,189512.0,9.0,0.0,9.0,0.0,0.0,0.0,4.0,2.0,9.0,1.0,5.277636714930903
Biology,Mechanical Engineer,57.0,Female,24.0,High School,High,1.0,3.0,56.0,104271.0,5.0,1.0,8.0,0.0,0.0,0.0,10.0,0.0,5.0,1.0,5.018163538616189
Economics,Economist,31.0,Female,10.0,PhD,Low,9.0,1.0,51.0,193542.0,3.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,5.286775224594989
Biology,Software Developer,31.0,Male,17.0,High School,Medium,7.0,2.0,94.0,154908.0,10.0,0.0,7.0,0.0,0.0,0.0,3.0,2.0,4.0,0.0,5.190073846849843
Business,Lawyer,41.0,Female,39.0,Master's,High,8.0,5.0,67.0,110550.0,2.0,0.0,6.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,5.043558746914733
Business,Lawyer,26.0,Male,10.0,PhD,Low,9.0,1.0,20.0,159563.0,1.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,5.202932193037637
Economics,Economist,39.0,Female,15.0,High School,High,6.0,10.0,45.0,93524.0,9.0,0.0,8.0,0.0,0.0,0.0,9.0,1.0,8.0,0.0,4.970923073226257
Medicine,Psychologist,42.0,Female,14.0,Master's,High,8.0,10.0,61.0,156894.0,6.0,0.0,10.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,5.195606335449804
Biology,Psychologist,37.0,Male,21.0,High School,Medium,4.0,7.0,70.0,61783.0,5.0,0.0,9.0,0.0,0.0,0.0,9.0,2.0,10.0,1.0,4.790868992534761
Computer Science,Software Developer,33.0,Female,39.0,High School,Medium,3.0,2.0,17.0,158209.0,8.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,5.0,1.0,5.199231185477459
Medicine,Psychologist,26.0,Male,10.0,High School,Medium,2.0,8.0,76.0,73365.0,8.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,6.0,1.0,4.865488921876963
Psychology,Psychologist,26.0,Male,28.0,High School,Low,6.0,8.0,30.0,176714.0,4.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,5.247270957440518
Arts,Artist,44.0,Male,24.0,Bachelor's,Low,1.0,5.0,30.0,161326.0,2.0,0.0,9.0,0.0,0.0,1.0,8.0,2.0,1.0,1.0,5.207704365817817
Education,Psychologist,24.0,Female,4.0,PhD,High,7.0,9.0,25.0,81650.0,4.0,1.0,7.0,0.0,0.0,0.0,10.0,1.0,8.0,1.0,4.911956189072687
Psychology,Artist,21.0,Female,33.0,Master's,Low,7.0,8.0,47.0,72187.0,4.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,4.858458993461513
Biology,Biologist,21.0,Female,38.0,Master's,High,4.0,4.0,34.0,124013.0,2.0,0.0,7.0,0.0,0.0,0.0,8.0,1.0,2.0,1.0,5.093467213648806
Medicine,Software Developer,53.0,Female,31.0,Master's,Low,8.0,4.0,52.0,170560.0,1.0,0.0,9.0,1.0,0.0,1.0,8.0,0.0,1.0,0.0,5.231877187346479
Law,Teacher,38.0,Male,22.0,Master's,Low,7.0,2.0,3.0,143403.0,10.0,0.0,7.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,5.1565582368953615
Business,Economist,53.0,Male,21.0,PhD,High,8.0,2.0,4.0,145963.0,2.0,1.0,9.0,1.0,0.0,0.0,3.0,2.0,5.0,1.0,5.164242780905658
Psychology,Psychologist,53.0,Male,13.0,PhD,Low,1.0,4.0,80.0,56789.0,6.0,0.0,9.0,1.0,1.0,0.0,8.0,0.0,2.0,1.0,4.754264221240148
Education,Lawyer,47.0,Female,24.0,Bachelor's,Low,6.0,10.0,23.0,85230.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,4.930592488442598
Law,Mechanical Engineer,43.0,Female,12.0,Bachelor's,Low,2.0,7.0,57.0,50329.0,1.0,0.0,5.0,1.0,0.0,1.0,3.0,1.0,7.0,1.0,4.7018183013727715
Biology,Economist,27.0,Female,10.0,PhD,Low,1.0,1.0,9.0,73303.0,1.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,6.0,1.0,4.865121748949237
Mechanical Engineering,Lawyer,44.0,Male,6.0,PhD,Low,10.0,4.0,33.0,76826.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,4.88550822192751
Computer Science,Teacher,20.0,Male,37.0,High School,Medium,1.0,7.0,100.0,183299.0,4.0,1.0,9.0,0.0,0.0,0.0,9.0,2.0,10.0,1.0,5.263160095645978
Economics,Software Developer,41.0,Female,28.0,High School,High,6.0,3.0,56.0,104974.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,5.02108174616732
Psychology,Lawyer,53.0,Female,10.0,PhD,High,8.0,8.0,100.0,121271.0,7.0,1.0,1.0,1.0,0.0,0.0,8.0,1.0,10.0,1.0,5.083756958774689
Mechanical Engineering,Biologist,23.0,Male,7.0,PhD,Low,9.0,2.0,50.0,195717.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,5.291628550162542
Arts,Doctor,23.0,Male,14.0,Master's,Low,6.0,10.0,59.0,91248.0,6.0,0.0,6.0,1.0,0.0,0.0,1.0,2.0,10.0,0.0,4.96022335424103
Computer Science,Teacher,38.0,Female,30.0,Master's,High,7.0,6.0,68.0,114937.0,10.0,0.0,2.0,0.0,0.0,1.0,8.0,1.0,9.0,0.0,5.060459857314392
Business,Teacher,42.0,Male,22.0,High School,High,6.0,2.0,71.0,93711.0,9.0,0.0,8.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,4.971790572306227
Arts,Software Developer,27.0,Male,28.0,High School,High,2.0,1.0,31.0,89971.0,10.0,0.0,10.0,0.0,0.0,1.0,3.0,0.0,7.0,1.0,4.9541025475556415
Biology,Business Analyst,57.0,Female,21.0,Bachelor's,High,5.0,2.0,30.0,171959.0,8.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,5.23542491088237
Law,Business Analyst,32.0,Female,8.0,Bachelor's,Low,10.0,5.0,70.0,144653.0,3.0,0.0,7.0,1.0,0.0,0.0,8.0,0.0,8.0,0.0,5.160327445035057
Law,Biologist,37.0,Female,17.0,Bachelor's,Medium,10.0,5.0,84.0,139403.0,4.0,0.0,2.0,0.0,0.0,0.0,8.0,1.0,3.0,0.0,5.144272120027603
Mechanical Engineering,Lawyer,35.0,Male,0.0,High School,Low,8.0,3.0,66.0,88267.0,4.0,0.0,7.0,0.0,0.0,0.0,8.0,1.0,3.0,0.0,4.945798366129805
Biology,Doctor,33.0,Female,21.0,High School,Medium,4.0,7.0,26.0,109988.0,8.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,7.0,1.0,5.041345304993961
Psychology,Artist,54.0,Female,18.0,Master's,Low,3.0,2.0,61.0,182134.0,8.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,5.0,1.0,5.260391025608598
Psychology,Artist,31.0,Female,28.0,Bachelor's,High,8.0,3.0,29.0,147111.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,5.167645147647252
Arts,Business Analyst,40.0,Female,20.0,Bachelor's,High,2.0,5.0,78.0,50706.0,1.0,1.0,7.0,0.0,1.0,1.0,1.0,2.0,6.0,1.0,4.705059352089079
Psychology,Doctor,39.0,Female,8.0,High School,Low,4.0,9.0,5.0,116424.0,10.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,5.06604251633767
Arts,Teacher,20.0,Female,7.0,Master's,High,3.0,7.0,23.0,101190.0,7.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,8.0,1.0,5.005137595908864
Business,Doctor,33.0,Female,8.0,High School,Medium,6.0,5.0,29.0,141187.0,2.0,0.0,9.0,1.0,1.0,0.0,9.0,1.0,2.0,0.0,5.149794710255581
Computer Science,Mechanical Engineer,54.0,Female,38.0,Master's,Low,8.0,3.0,18.0,66953.0,10.0,1.0,5.0,0.0,0.0,0.0,5.0,1.0,6.0,1.0,4.825770041456404
Medicine,Doctor,48.0,Male,26.0,PhD,High,3.0,10.0,52.0,44872.0,8.0,1.0,5.0,0.0,0.0,0.0,7.0,0.0,3.0,1.0,4.65197542700146
Biology,Software Developer,51.0,Female,1.0,Bachelor's,Low,10.0,2.0,33.0,103761.0,10.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,5.016034148623336
Business,Teacher,38.0,Female,16.0,Master's,High,1.0,10.0,72.0,171753.0,9.0,0.0,8.0,0.0,0.0,1.0,10.0,1.0,9.0,1.0,5.234904331595151
Computer Science,Business Analyst,56.0,Female,7.0,Master's,Medium,9.0,2.0,81.0,184925.0,6.0,0.0,10.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,5.266995627373945
Education,Artist,32.0,Female,24.0,PhD,High,1.0,4.0,21.0,120647.0,5.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,8.0,1.0,5.081516527242366
Economics,Economist,26.0,Male,16.0,High School,Low,1.0,8.0,68.0,182271.0,5.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,5.0,1.0,5.26071757626967
Education,Doctor,43.0,Female,4.0,Bachelor's,Medium,9.0,3.0,53.0,198471.0,1.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,5.0,0.0,5.297697057899794
Economics,Artist,58.0,Male,24.0,High School,Medium,5.0,4.0,11.0,196505.0,9.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.293373605321029
Medicine,Doctor,44.0,Female,30.0,High School,High,2.0,8.0,2.0,112656.0,9.0,0.0,9.0,1.0,0.0,0.0,8.0,1.0,2.0,1.0,5.05175432697418
Business,Artist,46.0,Female,38.0,PhD,Low,7.0,3.0,50.0,180267.0,2.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,5.255916231272498
Medicine,Doctor,20.0,Female,16.0,Bachelor's,Low,7.0,5.0,33.0,81391.0,10.0,0.0,9.0,0.0,1.0,1.0,6.0,2.0,8.0,0.0,4.910576384417048
Arts,Lawyer,36.0,Female,11.0,Master's,High,8.0,1.0,13.0,103316.0,8.0,0.0,10.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,5.014167583607013
Education,Doctor,58.0,Female,22.0,Master's,High,9.0,4.0,94.0,131325.0,1.0,0.0,2.0,0.0,0.0,0.0,10.0,1.0,7.0,0.0,5.118347409475146
Arts,Economist,37.0,Male,29.0,High School,High,5.0,4.0,61.0,153003.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,8.0,0.0,5.1846999463121906
Business,Psychologist,53.0,Female,13.0,Bachelor's,Low,10.0,2.0,19.0,70636.0,2.0,1.0,9.0,0.0,1.0,1.0,9.0,0.0,4.0,1.0,4.849026097886706
Law,Software Developer,28.0,Female,23.0,PhD,Low,10.0,2.0,26.0,146037.0,5.0,0.0,10.0,1.0,0.0,1.0,7.0,2.0,4.0,0.0,5.164462902771062
Education,Psychologist,30.0,Male,15.0,High School,High,3.0,7.0,39.0,68544.0,10.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,4.835969444815743
Education,Economist,49.0,Female,0.0,Bachelor's,High,3.0,4.0,74.0,53727.0,5.0,1.0,6.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0,4.730192591176918
Biology,Mechanical Engineer,23.0,Female,24.0,PhD,High,2.0,8.0,35.0,139801.0,6.0,0.0,7.0,1.0,0.0,0.0,3.0,0.0,9.0,1.0,5.14551027793991
Psychology,Artist,20.0,Male,22.0,Bachelor's,Medium,10.0,8.0,61.0,63822.0,10.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,8.0,0.0,4.80497040962487
Economics,Teacher,59.0,Female,15.0,PhD,High,1.0,4.0,82.0,123926.0,10.0,0.0,7.0,1.0,0.0,0.0,10.0,0.0,1.0,1.0,5.093162432057557
Biology,Economist,58.0,Male,31.0,Master's,High,1.0,5.0,1.0,151761.0,2.0,0.0,9.0,0.0,0.0,1.0,9.0,1.0,4.0,1.0,5.18116017959022
Economics,Software Developer,50.0,Male,22.0,Bachelor's,Low,1.0,8.0,56.0,45459.0,7.0,0.0,6.0,1.0,0.0,0.0,6.0,0.0,5.0,1.0,4.657619877951674
Business,Lawyer,27.0,Male,20.0,Master's,Medium,3.0,10.0,9.0,145741.0,6.0,0.0,6.0,0.0,0.0,1.0,7.0,1.0,6.0,1.0,5.163581745105009
Education,Biologist,38.0,Male,10.0,High School,High,3.0,10.0,24.0,136464.0,8.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,5.1350180970660295
Mechanical Engineering,Software Developer,29.0,Female,38.0,Bachelor's,Low,10.0,7.0,92.0,30757.0,8.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,5.0,1.0,4.487943972644853
Computer Science,Lawyer,20.0,Male,34.0,High School,High,5.0,5.0,4.0,91152.0,4.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,4.959766202112605
Mechanical Engineering,Economist,28.0,Male,17.0,High School,Low,7.0,3.0,98.0,163007.0,9.0,1.0,6.0,0.0,1.0,0.0,8.0,0.0,2.0,1.0,5.212206254686766
Medicine,Artist,57.0,Male,24.0,Bachelor's,Medium,2.0,1.0,4.0,119716.0,4.0,0.0,6.0,1.0,1.0,1.0,1.0,2.0,7.0,1.0,5.0781521975855535
Computer Science,Software Developer,57.0,Female,38.0,Bachelor's,High,7.0,2.0,86.0,102136.0,4.0,0.0,8.0,0.0,0.0,1.0,7.0,0.0,5.0,0.0,5.009178845374386
Mechanical Engineering,Teacher,21.0,Male,24.0,High School,High,10.0,6.0,52.0,61945.0,4.0,0.0,7.0,1.0,0.0,0.0,2.0,1.0,8.0,0.0,4.792006257281182
Business,Lawyer,31.0,Male,12.0,Master's,Medium,2.0,6.0,61.0,103253.0,1.0,0.0,5.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,5.013902678870986
Medicine,Artist,29.0,Female,37.0,High School,Medium,5.0,8.0,52.0,113913.0,1.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,5.056573289540868
Computer Science,Lawyer,39.0,Male,39.0,Master's,Low,10.0,7.0,13.0,125279.0,2.0,0.0,8.0,1.0,0.0,0.0,3.0,2.0,6.0,0.0,5.097878278109341
Biology,Economist,22.0,Male,2.0,Master's,Medium,2.0,2.0,10.0,127919.0,2.0,0.0,9.0,1.0,1.0,1.0,10.0,1.0,5.0,1.0,5.106935055677363
Medicine,Psychologist,38.0,Male,39.0,High School,High,5.0,1.0,82.0,128583.0,7.0,0.0,3.0,0.0,0.0,0.0,10.0,2.0,3.0,0.0,5.109183554169652
Business,Software Developer,24.0,Male,28.0,PhD,Low,3.0,2.0,30.0,157440.0,1.0,1.0,1.0,0.0,0.0,1.0,10.0,1.0,7.0,1.0,5.197115081087266
Biology,Biologist,45.0,Female,16.0,PhD,Low,7.0,3.0,25.0,108959.0,1.0,0.0,9.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,5.03726310873469
Biology,Artist,39.0,Female,39.0,Bachelor's,Medium,4.0,5.0,43.0,116352.0,6.0,0.0,7.0,0.0,0.0,0.0,9.0,1.0,7.0,1.0,5.065773852869836
Psychology,Economist,29.0,Female,16.0,High School,Low,3.0,1.0,79.0,63574.0,3.0,0.0,5.0,0.0,0.0,1.0,4.0,2.0,8.0,1.0,4.803279537579205
Law,Business Analyst,29.0,Female,34.0,Bachelor's,High,9.0,8.0,10.0,82991.0,5.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,4.919030997649963
Arts,Doctor,41.0,Male,18.0,Bachelor's,Low,10.0,6.0,67.0,154931.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,5.190138324033813
Mechanical Engineering,Economist,41.0,Male,37.0,PhD,High,4.0,7.0,74.0,94625.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,4.976005892508129
Computer Science,Mechanical Engineer,35.0,Male,29.0,Master's,High,7.0,5.0,80.0,35787.0,10.0,0.0,9.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,4.553725293303273
Psychology,Lawyer,47.0,Female,16.0,High School,High,5.0,2.0,27.0,127620.0,6.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,3.0,0.0,5.105918740286373
Psychology,Economist,45.0,Female,25.0,PhD,Medium,5.0,9.0,86.0,60558.0,6.0,0.0,8.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,4.782171523636885
Arts,Teacher,53.0,Male,29.0,High School,High,1.0,7.0,55.0,111348.0,10.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,5.046682420770466
Biology,Lawyer,53.0,Male,30.0,Master's,Low,2.0,8.0,75.0,105203.0,10.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,5.022028124464763
Biology,Economist,26.0,Male,21.0,High School,Medium,5.0,7.0,51.0,54099.0,4.0,0.0,3.0,0.0,0.0,1.0,9.0,2.0,3.0,0.0,4.733189237407942
Computer Science,Mechanical Engineer,34.0,Female,13.0,Master's,Medium,2.0,10.0,40.0,97829.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,4.990467614225798
Education,Artist,27.0,Female,23.0,High School,Medium,10.0,4.0,10.0,131961.0,5.0,0.0,1.0,1.0,0.0,1.0,10.0,0.0,4.0,0.0,5.120445597967853
Psychology,Lawyer,24.0,Male,37.0,Bachelor's,High,1.0,9.0,82.0,178939.0,1.0,0.0,5.0,0.0,0.0,0.0,8.0,1.0,6.0,1.0,5.252705005960811
Biology,Lawyer,57.0,Male,27.0,PhD,Low,6.0,6.0,92.0,110469.0,7.0,0.0,5.0,0.0,0.0,0.0,10.0,2.0,9.0,0.0,5.043240422656555
Arts,Business Analyst,51.0,Male,32.0,Master's,Low,1.0,3.0,86.0,161385.0,8.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,6.0,1.0,5.207863166569683
Arts,Artist,31.0,Male,29.0,Master's,High,5.0,3.0,71.0,192869.0,10.0,0.0,10.0,1.0,0.0,0.0,1.0,2.0,10.0,0.0,5.285262428728119
Medicine,Software Developer,37.0,Female,36.0,Bachelor's,High,1.0,5.0,86.0,195138.0,5.0,1.0,3.0,0.0,0.0,0.0,6.0,1.0,10.0,1.0,5.2903418495244106
Computer Science,Doctor,55.0,Male,17.0,Master's,Medium,10.0,2.0,12.0,137273.0,8.0,0.0,4.0,0.0,0.0,0.0,5.0,2.0,9.0,0.0,5.137585124970807
Mechanical Engineering,Psychologist,47.0,Male,20.0,Bachelor's,High,2.0,9.0,43.0,77692.0,8.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,4.890376301494253
Arts,Artist,44.0,Female,12.0,Master's,High,3.0,6.0,80.0,88874.0,3.0,0.0,5.0,0.0,0.0,0.0,9.0,2.0,10.0,1.0,4.948774727133882
Business,Doctor,26.0,Male,12.0,High School,Low,2.0,8.0,11.0,74436.0,9.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,4.871783027212591
Medicine,Teacher,50.0,Male,6.0,PhD,Low,9.0,6.0,43.0,176490.0,2.0,0.0,1.0,1.0,0.0,0.0,6.0,2.0,3.0,0.0,5.246720103107109
Education,Business Analyst,40.0,Female,18.0,High School,Low,9.0,5.0,81.0,111339.0,7.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0466473163383325
Arts,Biologist,36.0,Female,21.0,Bachelor's,Medium,3.0,4.0,58.0,158047.0,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,9.0,1.0,5.198786256608303
Arts,Doctor,54.0,Female,37.0,High School,Medium,6.0,9.0,84.0,110562.0,8.0,0.0,2.0,0.0,1.0,1.0,9.0,1.0,10.0,0.0,5.043605886226827
Medicine,Artist,43.0,Female,31.0,PhD,High,9.0,6.0,16.0,33978.0,9.0,0.0,7.0,1.0,0.0,0.0,8.0,2.0,10.0,1.0,4.531197812010173
Business,Teacher,29.0,Male,30.0,Bachelor's,High,9.0,5.0,18.0,34494.0,4.0,0.0,10.0,1.0,0.0,0.0,9.0,2.0,5.0,1.0,4.537743559029619
Mechanical Engineering,Software Developer,26.0,Male,23.0,High School,High,3.0,7.0,20.0,111582.0,1.0,1.0,7.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,5.04759414145488
Mechanical Engineering,Economist,42.0,Female,9.0,High School,Low,8.0,8.0,92.0,75067.0,9.0,1.0,5.0,0.0,0.0,0.0,8.0,2.0,6.0,1.0,4.8754490599388545
Biology,Teacher,47.0,Female,11.0,High School,Low,3.0,7.0,63.0,116900.0,4.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,5.0,1.0,5.06781451116184
Economics,Doctor,46.0,Male,15.0,PhD,Low,7.0,3.0,71.0,129697.0,8.0,0.0,6.0,0.0,0.0,1.0,4.0,2.0,6.0,0.0,5.112929930605946
Business,Teacher,53.0,Female,16.0,PhD,Medium,5.0,1.0,82.0,54141.0,8.0,0.0,9.0,0.0,0.0,1.0,8.0,0.0,2.0,0.0,4.733526273053829
Business,Software Developer,57.0,Male,1.0,Master's,Medium,10.0,9.0,74.0,103990.0,9.0,0.0,4.0,1.0,0.0,1.0,8.0,1.0,4.0,0.0,5.016991578206205
Arts,Artist,55.0,Male,11.0,PhD,High,1.0,8.0,14.0,150004.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,9.0,1.0,5.176102840087452
Medicine,Software Developer,50.0,Female,17.0,Master's,High,3.0,7.0,83.0,49899.0,8.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,6.0,1.0,4.6980918422399505
Law,Software Developer,41.0,Female,36.0,Master's,High,5.0,3.0,86.0,186141.0,6.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,5.269842042731
Economics,Doctor,38.0,Male,34.0,High School,Low,1.0,6.0,67.0,67616.0,8.0,0.0,8.0,1.0,0.0,0.0,10.0,0.0,2.0,1.0,4.83004947537222
Economics,Software Developer,53.0,Male,24.0,Master's,Low,10.0,8.0,14.0,113959.0,10.0,0.0,6.0,0.0,0.0,0.0,7.0,1.0,9.0,0.0,5.056748629612829
Biology,Artist,27.0,Female,5.0,Master's,Low,4.0,1.0,96.0,96746.0,6.0,0.0,10.0,0.0,0.0,0.0,7.0,0.0,5.0,1.0,4.9856330179923525
